recipe_id,source,cuisine,region
1000172,Epicurious,Indian,SouthAsian
1000173,Epicurious,Indian,SouthAsian
1000174,Epicurious,Indian,SouthAsian
1000175,Epicurious,Indian,SouthAsian
1000176,Epicurious,Indian,SouthAsian
1000177,Epicurious,Indian,SouthAsian
1000178,Epicurious,Indian,SouthAsian
1000179,Epicurious,Indian,SouthAsian
1000180,Epicurious,Indian,SouthAsian
1000181,Epicurious,Indian,SouthAsian
1000182,Epicurious,Indian,SouthAsian
1000183,Epicurious,Indian,SouthAsian
1000184,Epicurious,Indian,SouthAsian
1000185,Epicurious,Indian,SouthAsian
1000186,Epicurious,Indian,SouthAsian
1000187,Epicurious,Indian,SouthAsian
1000188,Epicurious,Indian,SouthAsian
1000189,Epicurious,Indian,SouthAsian
1000190,Epicurious,Indian,SouthAsian
1000191,Epicurious,Indian,SouthAsian
1000192,Epicurious,Indian,SouthAsian
1000193,Epicurious,Indian,SouthAsian
1000194,Epicurious,Indian,SouthAsian
1000195,Epicurious,Indian,SouthAsian
1000196,Epicurious,Indian,SouthAsian
1000197,Epicurious,Indian,SouthAsian
1000198,Epicurious,Indian,SouthAsian
1000199,Epicurious,Indian,SouthAsian
1000200,Epicurious,Indian,SouthAsian
1000201,Epicurious,Indian,SouthAsian
1000202,Epicurious,Indian,SouthAsian
1000203,Epicurious,Indian,SouthAsian
1000204,Epicurious,Indian,SouthAsian
1000205,Epicurious,Indian,SouthAsian
1000206,Epicurious,Indian,SouthAsian
1000207,Epicurious,Indian,SouthAsian
1000208,Epicurious,Indian,SouthAsian
1000209,Epicurious,Indian,SouthAsian
1000210,Epicurious,Indian,SouthAsian
1000211,Epicurious,Indian,SouthAsian
1000212,Epicurious,Indian,SouthAsian
1000213,Epicurious,Indian,SouthAsian
1000214,Epicurious,Indian,SouthAsian
1000215,Epicurious,Indian,SouthAsian
1000216,Epicurious,Indian,SouthAsian
1000217,Epicurious,Indian,SouthAsian
1000218,Epicurious,Indian,SouthAsian
1000219,Epicurious,Indian,SouthAsian
1000220,Epicurious,Indian,SouthAsian
1000221,Epicurious,Indian,SouthAsian
1000222,Epicurious,Indian,SouthAsian
1000223,Epicurious,Indian,SouthAsian
1000224,Epicurious,Indian,SouthAsian
1000225,Epicurious,Indian,SouthAsian
1000226,Epicurious,Indian,SouthAsian
1000227,Epicurious,Indian,SouthAsian
1000228,Epicurious,Indian,SouthAsian
1000229,Epicurious,Indian,SouthAsian
1000230,Epicurious,Indian,SouthAsian
